Brand,model,Age,kmDriven,Transmission,Owner,FuelType,AskPrice,km_per_year,post_year,post_month
Maruti Suzuki,Alto-800,11,100000,Manual,second,Petrol,160000,9091,2026,11
BMW,X1,8,168500,Automatic,first,Diesel,2100000,27750,2026,11
Hyundai,Creta,5,48000,Manual,first,Diesel,1065000,9600,2026,11
BMW,X5,8,63000,Automatic,second,Diesel,2290000,7875,2026,11
Hyundai,I20,9,168500,Manual,second,Diesel,560000,27750,2026,11
Skoda,Rapid,7,70000,Automatic,first,Diesel,750000,10000,2026,11
Hyundai,Verna,11,59000,Manual,second,Petrol,425000,5364,2026,11
Mahindra,Tuv,9,72000,Automatic,second,Diesel,390000,8000,2026,11
Mercedes-Benz,E-Class,12,74000,Automatic,second,Diesel,1295000,6167,2026,11
Honda,City,6,78127,Manual,first,Diesel,785000,13021,2026,11
Maruti Suzuki,Ciaz,4,26000,Manual,first,Petrol,775000,6500,2026,11
Renault,Kwid,7,65663,Automatic,second,Petrol,325000,9380,2026,11
BMW,5 Series,6,24000,Automatic,first,Petrol,2422500,4000,2026,11
Toyota,Fortuner,9,160000,Automatic,second,Diesel,1250000,17778,2026,11
Volkswagen,Polo,4,168500,Manual,second,Petrol,725000,27750,2026,11
Maruti Suzuki,Baleno,6,31000,Manual,first,Petrol,549000,5167,2026,11
Hyundai,Creta,5,55000,Automatic,first,Diesel,1299999,11000,2026,11
Maruti Suzuki,Swift Dzire,9,168500,Manual,second,Diesel,431000,27750,2026,11
Hyundai,Alcazar,2,37000,Automatic,first,Diesel,1820000,18500,2026,11
Maruti Suzuki,Alto K10,8,168500,Manual,first,Petrol,275000,27750,2026,11
Mercedes-Benz,M-Class,9,75000,Automatic,first,Diesel,2422500,8333,2026,11
Honda,Brio,10,32001,Manual,second,Petrol,295000,3200,2026,11
Maruti Suzuki,Swift-Dzire,0,22000,Manual,first,Petrol,260000,22000,2026,10
Hyundai,I20,14,45000,Manual,second,Petrol,150000,3214,2026,11
Toyota,Fortuner,3,60000,Automatic,first,Petrol,2422500,20000,2026,9
Kia,Seltos,3,41000,Automatic,first,Petrol,1390000,13667,2026,10
Volkswagen,Polo,9,51000,Manual,second,Petrol,499999,5667,2026,11
Toyota,Glanza,3,28000,Automatic,second,Petrol,750000,9333,2026,11
BMW,5 Series,5,38000,Automatic,first,Diesel,2422500,7600,2026,11
Skoda,Rapid,5,64800,Automatic,first,Diesel,799000,12960,2026,11
Jeep,Compass,2,17300,Automatic,first,Petrol,1995000,8650,2026,10
Volkswagen,Ventotest,11,38000,Manual,first,Petrol,292000,3455,2026,11
Honda,City,13,95000,Automatic,second,Petrol,280000,7308,2026,11
Honda,Brio,12,72000,Manual,first,Petrol,165000,6000,2026,11
Maruti Suzuki,Ertiga,8,135000,Manual,second,Diesel,875000,16875,2026,11
Toyota,Etios,12,135000,Manual,second,Diesel,395000,11250,2026,11
Volkswagen,Ventotest,5,160000,Manual,first,Diesel,695000,27750,2026,11
Tata,Harrier,2,14000,Automatic,first,Diesel,1875000,7000,2026,10
Kia,Seltos,4,50200,Automatic,first,Petrol,1300000,12550,2026,11
Maruti Suzuki,Alto-800,10,47000,Manual,first,Petrol,255000,4700,2026,11
Audi,A3,9,42000,Automatic,second,Diesel,1050000,4667,2026,11
Honda,City,13,59600,Manual,second,Petrol,210000,4585,2026,11
Maruti Suzuki,Ritz,14,8000,Automatic,second,Petrol,185000,571,2026,11
Maruti Suzuki,Wagon-R,1,30000,Manual,first,Petrol,675000,27750,2026,11
Renault,Kwid,7,54000,Automatic,second,Petrol,365000,7714,2026,11
Maruti Suzuki,Omni,26,80000,Manual,second,Petrol,75000,3077,2026,11
Chevrolet,Cruze,13,100000,Automatic,second,Diesel,295000,7692,2026,11
Mahindra,Xuv500,7,48000,Automatic,first,Diesel,1199999,6857,2026,11
Hyundai,Verna,11,150000,Automatic,second,Diesel,410000,13636,2026,11
Hyundai,Creta,8,63000,Manual,second,Petrol,650000,7875,2026,11
Toyota,Fortuner,10,168500,Automatic,second,Diesel,1445000,27750,2026,11
Honda,City,6,168500,Manual,first,Petrol,695000,27750,2026,11
Honda,Amaze,3,56001,Automatic,first,Diesel,1125000,18667,2026,11
Toyota,Innova Crysta,7,25000,Manual,first,Diesel,1565000,3571,2026,11
Honda,Jazz,9,68001,Manual,second,Petrol,444000,7556,2026,10
Renault,Scala,11,72000,Manual,first,Diesel,345000,6545,2026,11
BMW,3 Series Gt,5,50000,Automatic,second,Diesel,2422500,10000,2026,11
Honda,City,8,95000,Manual,second,Petrol,535000,11875,2026,11
Maruti Suzuki,S-Presso,3,39000,Automatic,first,Petrol,465000,13000,2026,11
Mahindra,Xuv500,11,60000,Manual,second,Diesel,695000,5455,2026,11
Hyundai,Tucson,7,72315,Automatic,second,Diesel,1035000,10331,2026,11
Hyundai,Verna,10,82000,Automatic,second,Petrol,390000,8200,2026,11
Toyota,Camry,9,68000,Automatic,second,Petrol,1185000,7556,2026,11
Maruti Suzuki,Alto,5,85000,Automatic,second,Petrol,280000,17000,2026,11
Hyundai,Santa Fe,8,64000,Automatic,first,Diesel,1245000,8000,2026,11
Hyundai,Xcent,8,68500,Manual,second,Petrol,440000,8562,2026,11
Maruti Suzuki,Dzire,2,168500,Automatic,first,Petrol,780000,27750,2026,11
Maruti Suzuki,Swift,5,168500,Manual,first,Petrol,540000,27750,2026,11
MG,Astor,2,32000,Automatic,first,Petrol,1275000,16000,2026,10
Audi,Q7,10,45000,Automatic,second,Diesel,1200000,4500,2026,11
Volkswagen,Ventotest,8,130000,Automatic,second,Petrol,525000,16250,2026,10
Mercedes-Benz,Gle Coupe,3,32000,Automatic,second,Petrol,2422500,10667,2026,10
Maruti Suzuki,Alto-800,5,69000,Manual,first,Petrol,300000,13800,2026,11
Toyota,Innova Crysta,7,112000,Automatic,first,Diesel,1551111,16000,2026,10
Mini,Cooper 5 Door,10,32000,Automatic,second,Diesel,1900000,3200,2026,10
Renault,Kwid,7,168500,Automatic,first,Petrol,375000,27750,2026,11
Volkswagen,Ventotest,6,70673,Automatic,first,Diesel,775000,11779,2026,11
Maruti Suzuki,Baleno,6,39848,Manual,first,Petrol,479931,6641,2026,11
Audi,Q3,8,77000,Automatic,first,Diesel,1500000,9625,2026,11
Maruti Suzuki,Alto,16,111400,Manual,second,Petrol,150000,6962,2026,11
Toyota,Fortuner,7,30000,Automatic,second,Diesel,2422500,4286,2026,11
Skoda,Rapid,9,82000,Automatic,second,Diesel,325000,9111,2026,11
Maruti Suzuki,Swift-Dzire,11,89000,Manual,second,Diesel,361000,8091,2026,11
Toyota,Fortuner,9,168500,Automatic,first,Diesel,1550000,21667,2026,11
Tata,Hexa,7,65110,Manual,first,Diesel,695000,9301,2026,11
Hyundai,Creta Facelift,2,25000,Manual,first,Petrol,1375000,12500,2026,9
BMW,7 Series,10,115000,Automatic,first,Diesel,1500000,11500,2026,10
Honda,Jazz,9,64000,Manual,first,Petrol,574999,7111,2026,10
Volkswagen,Polo,11,61000,Automatic,first,Petrol,415000,5545,2026,11
Hyundai,Grand I10,10,54000,Automatic,second,Petrol,479000,5400,2026,11
Maruti Suzuki,Ciaz,4,168500,Manual,first,Petrol,840000,27750,2026,11
Toyota,Innova Crysta,2,25000,Automatic,first,Diesel,2422500,12500,2026,11
Maruti Suzuki,Celerio,9,168500,Automatic,second,Petrol,360000,27750,2026,11
Mahindra,Thar,2,14000,Automatic,first,Petrol,1550000,7000,2026,11
Tata,Bolt,9,56000,Manual,first,Petrol,235000,6222,2026,11
BMW,5 Series,8,47000,Automatic,second,Diesel,2422500,5875,2026,11
Jaguar,Xf,11,97763,Automatic,second,Diesel,1550000,8888,2026,11
Tata,Tiago,3,74000,Manual,second,Petrol,515000,24667,2026,11
Honda,Brio,9,168500,Manual,second,Petrol,385000,27750,2026,11
Toyota,Innova Crysta,3,168500,Manual,second,Diesel,2422500,27750,2026,11
Skoda,Rapid,10,71000,Automatic,second,Petrol,395000,7100,2026,11
Mahindra,Thar,4,40000,Manual,first,Diesel,1195000,10000,2026,11
BMW,3 Series Gt,9,61000,Automatic,second,Diesel,1500000,6778,2026,11
Hyundai,I20,14,83000,Manual,second,Petrol,235000,5929,2026,7
Toyota,Fortuner,12,166000,Manual,second,Diesel,1650000,13833,2026,8
Tata,Indigo Marina,20,168500,Manual,second,Petrol,98000,27750,2026,11
Maruti Suzuki,Ertiga,5,91000,Manual,first,Diesel,1149000,18200,2026,11
Tata,Safari,2,27000,Manual,first,Diesel,1865000,13500,2026,11
Hyundai,Creta,6,77620,Automatic,first,Diesel,1350000,12937,2026,11
Ford,Ecosport,7,85000,Manual,second,Diesel,649999,12143,2026,10
Tata,Nano Genx,8,58,Automatic,second,Petrol,186000,7,2026,11
Maruti Suzuki,Swift-Dzire,8,25,Manual,second,Diesel,420000,3,2026,11
Maruti Suzuki,Alto-800,18,20024,Manual,first,Petrol,20000,1112,2026,11
Hyundai,Grand I10,10,80000,Manual,second,Petrol,375556,8000,2026,11
Volkswagen,Polo,5,168500,Automatic,second,Petrol,1185000,27750,2026,11
Honda,City Hybrid Ehev,8,77000,Automatic,first,Petrol,575000,9625,2026,11
Maruti Suzuki,Swift,6,63259,Automatic,second,Diesel,520000,10543,2026,11
Ford,Ecosport,7,110000,Manual,first,Diesel,449999,15714,2026,11
Hyundai,I20,1,14000,Automatic,first,Petrol,925000,14000,2026,10
Volkswagen,Tiguan,6,52000,Automatic,first,Diesel,1915000,8667,2026,11
Mercedes-Benz,G,13,168500,Automatic,second,Diesel,2422500,27750,2026,11
BMW,3 Series,8,65000,Automatic,second,Diesel,1325000,8125,2026,11
Renault,Duster,8,75000,Automatic,second,Diesel,595000,9375,2026,11
Maruti Suzuki,Swift,17,135000,Manual,second,Diesel,165000,7941,2026,11
Toyota,Innova,10,105000,Manual,second,Diesel,780000,10500,2026,11
Land Rover,Range Rover,8,168500,Automatic,second,Diesel,2422500,27750,2026,11
BMW,7 Series,11,61000,Automatic,second,Diesel,851000,5545,2026,11
Maruti Suzuki,Grand Vitara,1,21209,Manual,first,Petrol,1290000,21209,2026,11
Toyota,Glanza,4,87000,Manual,first,Petrol,733000,21750,2026,10
Renault,Duster,8,130000,Manual,second,Diesel,599000,16250,2026,11
Volvo,Xc 90,9,125000,Automatic,second,Diesel,1075000,13889,2026,11
Tata,Tiago,6,30000,Automatic,first,Petrol,355000,5000,2026,11
Audi,A6,9,78561,Automatic,first,Diesel,898970,8729,2026,11
Honda,City,8,63000,Manual,second,Petrol,600000,7875,2026,11
Honda,Amaze,8,65000,Manual,first,Petrol,410000,8125,2026,11
Volkswagen,Polo Gti,9,102000,Automatic,second,Petrol,450000,11333,2026,11
Maruti Suzuki,Swift,2,35000,Automatic,first,Petrol,745000,17500,2026,10
Volkswagen,Virtus,2,50000,Automatic,first,Petrol,1299000,25000,2026,10
Maruti Suzuki,A-Star,11,60000,Automatic,second,Petrol,299000,5455,2026,11
BMW,5 Series,10,72000,Automatic,second,Diesel,1599000,7200,2026,11
Mini,Cooper S,11,53000,Automatic,second,Petrol,1600000,4818,2026,11
Toyota,Etios Liva,6,74000,Manual,second,Diesel,850000,12333,2026,11
MG,Hector,1,29000,Automatic,first,Petrol,2295000,27750,2026,11
Mercedes-Benz,Cla,8,20800,Automatic,second,Petrol,1700000,2600,2026,11
Hyundai,I20,7,95000,Manual,second,Petrol,565000,13571,2026,10
Mahindra,Thar,3,13000,Automatic,first,Diesel,1700000,4333,2026,11
Mahindra,Xuv700,1,4000,Manual,first,Petrol,2100000,4000,2026,10
Maruti Suzuki,Baleno,3,57000,Automatic,second,Petrol,685000,19000,2026,11
Mahindra,Alturas G4,2,25000,Automatic,first,Diesel,2422500,12500,2026,11
Mahindra,Scorpio,7,92000,Manual,first,Diesel,1050000,13143,2026,11
MG,Astor,3,12110,Automatic,first,Petrol,1295000,4037,2026,11
Hyundai,New I20,2,13162,Automatic,first,Petrol,975000,6581,2026,11
Toyota,Etios Liva,7,168500,Manual,first,Petrol,599000,27750,2026,11
Maruti Suzuki,Alto 800,8,168500,Manual,second,Petrol,265000,27750,2026,11
Audi,A6,11,110000,Automatic,second,Diesel,1150000,10000,2026,11
Hyundai,Elite I20,7,52355,Manual,first,Petrol,499555,7479,2026,11
Hyundai,I10,11,40595,Automatic,second,Petrol,310000,3690,2026,11
Mahindra,Thar,3,41000,Manual,second,Diesel,1450000,13667,2026,11
Maruti Suzuki,Omni,10,77500,Automatic,second,Petrol,1010000,7750,2026,11
Maruti Suzuki,Swift-Dzire,6,55000,Manual,first,Petrol,595000,9167,2026,11
Hyundai,I10,11,80000,Automatic,second,Petrol,145000,7273,2026,11
Land Rover,Defender,0,7000,Automatic,first,Petrol,2422500,7000,2026,11
BMW,5 Series,8,47000,Automatic,second,Diesel,2422500,5875,2026,11
Mercedes-Benz,Gla Class,8,71000,Automatic,second,Petrol,1990000,8875,2026,11
Hyundai,Santro Xing,17,65000,Manual,second,Petrol,185000,3824,2026,11
Toyota,Innova Crysta,5,69000,Automatic,first,Diesel,2422500,13800,2026,11
Maruti Suzuki,Ertiga,5,90000,Manual,first,Diesel,900000,18000,2026,11
Fiat,Linea,15,79742,Manual,second,Petrol,165000,5316,2026,11
Audi,Q3,7,45000,Automatic,second,Diesel,1690000,6429,2026,10
Toyota,Innova Crysta,2,80000,Automatic,first,Diesel,2422500,27750,2026,11
Toyota,Etios,12,51000,Automatic,second,Petrol,260000,4250,2026,11
BMW,3 Series Gt,5,168500,Automatic,first,Diesel,2422500,27750,2026,11
Aston Martin,Vanquish,8,168500,Automatic,first,Petrol,2422500,27750,2026,11
